driverId,firstname,lastname,nationality
1,daniel,abt,germany
2,jaime,alguersuari,spain
3,marco,andretti,united states
4,oliver,askew,united states
5,david,beckmann,germany
6,nathanaël,berthon,france
7,sam,bird,united kingdom
8,tom,blomqvist,united kingdom
9,matthew,brabham,united states
10,sébastien,buemi,switzerland
11,james,calado,united kingdom
12,adam,carroll,united kingdom
13,nick,cassidy,new zealand
14,michela,cerruti,italy
15,karun,chandhok,india
16,mike,conway,united kingdom
17,jérôme,d'ambrosio,belgium
18,jake,dennis,united kingdom
19,tom,dillmann,france
20,salvador,durán,mexico
21,loïc,duval,france
22,maro,engel,germany
23,joel,eriksson,sweden
24,mitch,evans,new zealand
25,antónio,félix da costa,portugal
26,sacha,fenestraz,france
27,luca,filippi,italy
28,alex,fontana,switzerland
29,robin,frijns,netherlands
30,antonio,garcía,spain
31,pierre,gasly,france
32,antonio,giovinazzi,italy
33,lucas,di grassi,brazil
34,maximilian,günther,germany
35,esteban,gutiérrez,mexico
36,brendon,hartley,new zealand
37,nick,heidfeld,germany
38,jake,hughes,united kingdom
39,neel,jani,switzerland
40,kamui,kobayashi,japan
41,katherine,legge,united kingdom
42,fabio,leimer,switzerland
43,kelvin,van der linde,south africa
44,vitantonio,liuzzi,italy
45,josé,maría lópez,argentina
46,andré,lotterer,germany
47,alex,lynn,united kingdom
48,ma,qing hua,china
49,felipe,massa,brazil
50,franck,montagny,france
51,roberto,merhi,spain
52,edoardo,mortara,switzerland
53,nico,müller,switzerland
54,felipe,nasr,brazil
55,norman,nato,france
56,gary,paffett,united kingdom
57,charles,pic,france
58,nelson,piquet jr.,brazil
59,nico,prost,france
60,rené,rast,germany
61,felix,rosenqvist,sweden
62,oliver,rowland,united kingdom
63,stéphane,sarrazin,france
64,takuma,sato,japan
65,bruno,senna,brazil
66,sérgio,sette câmara,brazil
67,oriol,servià,spain
68,simona,de silvestro,switzerland
69,alexander,sims,united kingdom
70,scott,speed,united states
71,dan,ticktum,united kingdom
72,oliver,turvey,united kingdom
73,ho-pin,tung,china
74,jarno,trulli,italy
75,stoffel,vandoorne,belgium
76,jean-éric,vergne,france
77,jacques,villeneuve,canada
78,nyck,de vries,netherlands
79,pascal,wehrlein,germany
80,justin,wilson,united kingdom
81,sakon,yamamoto,japan
82,jehan,daruvala,india
