season,yearstart,yearend,url
1,2014,2015,https://en.wikipedia.org/wiki/2014%E2%80%9315_Formula_E_Championship
2,2015,2016,https://en.wikipedia.org/wiki/2015%E2%80%9316_Formula_E_Championship
3,2016,2017,https://en.wikipedia.org/wiki/2016%E2%80%9317_Formula_E_Championship
4,2017,2018,https://en.wikipedia.org/wiki/2017%E2%80%9318_Formula_E_Championship
5,2018,2019,https://en.wikipedia.org/wiki/2018%E2%80%9319_Formula_E_Championship
6,2019,2020,https://en.wikipedia.org/wiki/2019%E2%80%9320_Formula_E_Championship
7,2020,2021,https://en.wikipedia.org/wiki/2020%E2%80%9321_Formula_E_World_Championship
8,2021,2022,https://en.wikipedia.org/wiki/2021%E2%80%9322_Formula_E_World_Championship
9,2022,2023,https://en.wikipedia.org/wiki/2022%E2%80%9323_Formula_E_World_Championship
10,2023,2024,
